account_id,total_num_payments,total_sum_payments_KES
1,2,1900
2,18,8100
3,15,6711
4,13,8100
5,13,5793
6,23,8100
7,12,5980
8,3,3574
9,22,8053
10,12,8100
11,24,8100
12,23,6033
13,27,4140
14,35,6100
15,4,3224
16,37,6063
17,20,4534
18,23,6061
19,22,4530
20,20,4193
21,35,6100
22,32,6077
23,6,1970
24,6,1984
25,23,4044
26,20,4007
27,41,5200
28,9,2249
29,36,5200
30,5,1957
31,9,3422
32,5,1879
33,7,2056
34,31,6100
35,26,4765
36,16,3565
37,23,4896
38,25,4345
39,20,4157
40,18,4274
41,4,3438
42,18,4841
43,4,4150
44,17,4497
45,5,3908
46,5,6100
47,11,6100
48,12,6100
49,11,6100
50,2,2200
51,10,6100
52,6,4114
53,9,4668
54,8,5488
55,5,4251
56,37,5465
57,4,3832
58,16,5094
59,18,5500
60,25,4440
61,39,5500
62,39,5500
63,12,4611
64,17,5500
65,28,5458
66,6,1961
67,12,4427
68,18,5039
69,4,2204
70,9,4218
71,4,1750
72,10,3339
73,15,5117
74,7,6100
75,15,6100
76,21,6100
77,11,4566
78,3,1497
79,19,6100
80,15,6024
81,9,4995
82,15,6100
83,4,4224
84,2,1200
85,15,6039
86,4,2394
87,12,6100
88,2,3700
89,18,12302
90,20,14695
92,15,12523
93,15,14900
94,12,12074
95,14,12388
96,16,11584
97,16,14660
98,10,14900
99,8,9039
100,17,14900
101,11,10752
102,8,11822
103,19,14900
104,15,12369
105,16,11624
106,6,14900
107,17,12394
108,5,5597
109,14,5111
110,19,4849
111,15,4727
112,6,2660
113,15,4358
114,19,4994
115,20,4759
116,27,6214
117,2,1800
118,6,6278
119,13,6300
120,13,4162
121,31,4854
122,14,4379
123,26,4926
124,24,6100
125,30,6100
126,19,6100
127,26,6100
128,33,4734
129,4,2203
130,38,6100
131,19,6100
132,16,4638
133,22,6004
134,22,6100
135,14,5289
136,20,6100
137,18,6012
138,14,5282
139,22,6100
140,13,4619
141,7,6100
142,11,4587
143,9,4373
144,10,4415
145,10,6096
146,3,3242
147,14,6061
148,5,6100
149,5,5965
150,2,2400
151,7,4547
152,11,6100
153,7,4467
154,9,4914
155,13,6100
156,6,4380
157,13,4689
158,12,6100
159,4,6100
160,6,6100
161,4,6100
162,11,4428
163,11,6865
164,4,6080
165,17,7175
166,20,6116
167,27,6604
168,30,6785
169,23,5757
170,23,6874
171,21,6756
172,26,6304
173,7,4771
174,32,9200
175,5,4465
176,24,6449
177,18,6949
178,11,6067
179,6,4627
180,46,9130
181,12,6650
182,34,6490
183,18,6862
184,13,10510
185,11,11673
186,29,14824
187,28,15000
188,22,15000
189,21,15000
190,17,14986
191,24,12118
192,23,11198
193,25,14962
194,20,12454
195,15,5018
196,9,4815
197,11,6000
198,12,6000
199,10,4610
200,6,3423
201,2,1600
202,14,5149
203,8,3988
204,15,5185
205,3,2016
206,19,6532
207,4,3296
208,14,4781
209,10,5154
210,9,4848
211,20,5102
212,19,6600
213,16,4788
214,14,4483
215,5,6600
216,12,4725
217,5,3559
218,9,4664
219,10,4842
220,3,3220
221,9,6600
222,15,4898
223,14,4969
224,13,4667
225,2,2900
226,15,4852
227,18,4162
228,14,6100
229,15,4178
230,7,4210
