account_id,total_num_payments,total_sum_payments_KES
2,8,3102
3,7,3213
4,8,4599
5,5,2386
6,8,2360
7,8,3806
8,4,5217
9,9,2537
10,8,5016
11,8,2274
12,10,1369
13,9,1857
14,9,815
16,10,817
17,9,2173
18,9,1188
19,8,2028
20,6,1833
21,8,691
22,9,863
23,1,98
25,9,1712
26,9,1847
27,8,743
28,2,198
29,9,905
30,1,109
31,7,2372
32,3,279
34,9,1423
35,9,1836
36,5,1303
37,9,2002
38,8,1530
39,8,1751
40,6,1585
41,6,5094
42,9,2380
43,5,4800
44,8,2114
45,7,5557
46,5,6100
47,9,3900
48,9,3501
49,8,3428
50,2,2200
51,8,3900
52,8,5662
53,7,3218
54,9,6588
55,6,5351
56,9,992
57,5,4482
58,9,2800
59,8,2184
60,9,1723
61,9,965
62,8,874
63,7,2651
64,9,2463
65,9,1304
67,5,1908
68,10,2755
69,2,1004
70,5,2311
71,1,291
72,6,1887
73,9,2994
74,7,6100
75,8,3033
76,9,2249
77,7,2871
79,8,2232
80,9,3013
81,8,4395
82,8,2984
83,5,4824
84,3,1800
85,9,3027
86,2,1194
87,8,3881
88,3,5550
89,9,6170
90,9,5270
91,3,5550
92,8,6645
93,8,6599
94,8,7691
95,8,6849
96,9,6350
97,10,7432
98,8,11200
99,5,5385
100,9,6504
101,6,5707
102,7,9972
103,9,5726
104,8,6498
105,7,5298
106,6,14900
107,9,6395
108,1,632
109,9,3078
110,9,2323
111,7,2242
112,2,426
113,6,1884
114,8,2212
115,8,2081
116,10,1711
118,7,6300
119,8,3195
120,6,1946
121,9,1683
122,5,1703
123,8,1710
124,9,1825
125,9,1403
126,9,2424
127,9,1772
128,9,1562
129,2,803
130,9,1182
131,9,2337
132,8,2330
133,10,2088
134,8,1871
135,8,2951
136,9,2208
137,9,2307
138,8,2932
139,8,1805
140,7,2425
141,7,6100
142,7,2636
143,7,2917
144,6,2482
145,11,6100
146,3,3242
147,9,2481
148,5,6100
149,6,6100
150,3,6100
151,8,5747
152,8,3272
153,9,6096
154,8,3714
155,8,2657
156,7,5580
157,8,2649
158,8,2979
159,4,6100
160,6,6100
161,4,6100
162,6,2346
163,9,4567
164,5,8080
