account_id,expected_payment_as_of_2020-03-01
1,1093.0
2,1951.0
3,1665.0
4,1522.0
5,1593.5
6,2308.5
7,1593.5
8,1021.5
9,2237.0
10,1379.0
11,2380.0
12,2420.0
13,2604.0
14,2926.0
15,1638.0
16,3064.0
17,2236.0
18,2420.0
19,2374.0
20,2328.0
21,2926.0
22,2834.0
23,1020.0
24,1064.0
25,1724.0
26,1548.0
27,2428.0
28,1284.0
29,2208.0
30,976.0
31,1108.0
32,1108.0
33,1064.0
34,2121.5
35,1794.5
36,1358.5
37,1740.0
38,1740.0
39,1522.0
40,1467.5
41,704.5
42,1467.5
43,704.5
44,1467.5
45,1300.0
47,1400.0
48,1450.0
49,1400.0
50,1150.0
51,1400.0
52,1350.0
53,1400.0
54,1200.0
55,1250.0
56,2299.0
57,698.5
58,1135.0
59,1329.0
60,1620.0
61,2347.5
62,2347.5
63,1038.0
64,1280.5
65,1862.5
66,892.5
67,1370.0
68,2140.0
69,1040.0
70,1040.0
71,930.0
72,1590.0
73,1810.0
75,1480.0
76,2360.0
77,1260.0
78,820.0
79,2140.0
80,1700.0
81,1370.0
82,1590.0
83,710.0
85,1590.0
86,930.0
87,710.0
89,3807.5
90,4068.5
92,3285.5
93,3155.0
94,2894.0
95,3416.0
96,3416.0
97,3546.5
98,2111.0
99,2763.5
100,3546.5
101,3024.5
102,1980.5
103,3807.5
104,3155.0
105,3416.0
107,3938.0
108,2372.0
109,2088.0
110,2736.0
111,2196.0
112,1440.0
113,2196.0
114,2520.0
115,2628.0
116,3492.0
117,1008.0
119,1764.0
120,1186.0
121,2158.0
122,1294.0
123,1942.0
124,1780.0
125,2104.0
126,1510.0
127,1888.0
128,2266.0
129,862.0
130,2536.0
131,1552.5
132,1285.0
133,1766.5
134,1713.0
135,1285.0
136,1606.0
137,1552.5
138,1285.0
139,1713.0
140,1338.5
142,1592.0
143,1494.0
144,1543.0
145,1494.0
146,1249.0
147,1739.0
151,1494.0
152,1543.0
153,1396.0
154,1543.0
155,1641.0
156,1396.0
157,1690.0
158,1592.0
162,1592.0
163,2720.0
164,2216.0
165,3080.0
166,3224.0
167,3800.0
