started_when,account_id,to_state,time_in_state_as_of_2020-03-01
2020-01-17 13:01:20.571392,1,DISABLED,44 days 10:58:38.428608000
2020-02-24 02:00:21.571392,2,UNLOCKED,6 days 21:59:37.428608000
2020-02-21 11:40:47.887181,3,DISABLED,9 days 12:19:11.112819000
2020-02-25 04:28:59.571392,4,UNLOCKED,5 days 19:30:59.428608000
2020-02-29 20:42:56.571392,5,DISABLED,1 days 03:17:02.428608000
2020-02-20 18:54:47.571392,6,UNLOCKED,10 days 05:05:11.428608000
2020-02-27 21:56:59.571392,7,ENABLED,3 days 02:02:59.428608000
2020-02-27 05:59:01.834550,8,DISABLED,3 days 18:00:57.165450000
2020-02-28 09:49:07.360866,9,DISABLED,2 days 14:10:51.639134000
2020-02-21 15:48:49.571392,10,UNLOCKED,9 days 08:11:09.428608000
2020-02-22 10:21:48.571392,11,UNLOCKED,8 days 13:38:10.428608000
2020-02-25 23:20:56.971392,12,DISABLED,5 days 00:39:02.028608000
2020-02-27 03:50:03.571392,13,DISABLED,3 days 20:09:55.428608000
2020-02-29 01:21:59.571392,14,UNLOCKED,1 days 22:37:59.428608000
2019-11-01 08:28:57.571392,15,DISABLED,121 days 15:31:01.428608000
2020-02-25 10:20:54.971392,16,DISABLED,5 days 13:39:04.028608000
2020-02-28 22:25:53.571392,17,DISABLED,2 days 01:34:05.428608000
2020-02-25 02:09:11.771392,18,DISABLED,5 days 21:50:47.228608000
2020-02-29 06:29:09.771392,19,DISABLED,1 days 17:30:49.228608000
2020-02-28 09:38:33.171392,20,DISABLED,2 days 14:21:25.828608000
2020-02-26 01:58:07.571392,21,UNLOCKED,4 days 22:01:51.428608000
2020-02-26 09:03:58.771392,22,DISABLED,4 days 14:56:00.228608000
2020-01-08 10:43:17.571392,23,DISABLED,53 days 13:16:41.428608000
2020-02-25 11:48:30.571392,24,DISABLED,5 days 12:11:28.428608000
2020-02-26 23:03:51.571392,25,DISABLED,4 days 00:56:07.428608000
2020-02-29 23:20:06.571392,26,DISABLED,1 days 00:39:52.428608000
